Category: All categories

Month,diet: (Worldwide),gym: (Worldwide),finance: (Worldwide)
2004-01,100,31,48
2004-02,75,26,50
2004-03,68,23,46
2004-04,69,23,47
2004-05,73,22,43
2004-06,65,23,47
2004-07,63,23,45
2004-08,58,27,44
2004-09,55,25,44
2004-10,50,24,43
2004-11,50,24,43
2004-12,42,24,40
2005-01,64,33,45
2005-02,52,28,46
2005-03,58,27,45
2005-04,55,25,45
2005-05,58,25,42
2005-06,54,24,43
2005-07,53,26,43
2005-08,51,28,43
2005-09,45,27,45
2005-10,47,26,43
2005-11,43,25,43
2005-12,38,25,39
2006-01,64,34,44
2006-02,53,28,43
2006-03,50,27,45
2006-04,49,26,46
2006-05,48,25,44
2006-06,52,25,44
2006-07,52,28,43
2006-08,49,30,45
2006-09,45,30,46
2006-10,43,27,46
2006-11,43,27,45
2006-12,36,27,39
2007-01,58,35,48
2007-02,49,32,48
2007-03,52,31,48
2007-04,52,32,48
2007-05,49,32,48
2007-06,47,30,48
2007-07,48,30,49
2007-08,43,31,52
2007-09,44,31,50
2007-10,43,28,52
2007-11,40,27,50
2007-12,34,26,43
2008-01,53,35,52
2008-02,46,29,51
2008-03,45,29,51
2008-04,47,27,52
2008-05,45,28,49
2008-06,43,27,49
2008-07,44,28,53
2008-08,43,30,49
2008-09,43,33,63
2008-10,43,28,72
2008-11,40,28,57
2008-12,37,27,54
2009-01,52,36,53
2009-02,46,30,57
2009-03,48,30,60
2009-04,50,28,58
2009-05,48,27,53
2009-06,48,28,55
2009-07,47,28,55
2009-08,48,30,57
2009-09,44,30,60
2009-10,43,27,56
2009-11,42,28,52
2009-12,39,27,46
2010-01,58,35,51
2010-02,51,31,54
2010-03,51,30,54
2010-04,51,30,55
2010-05,50,28,53
2010-06,47,28,52
2010-07,48,29,50
2010-08,49,31,51
2010-09,47,32,53
2010-10,45,28,50
2010-11,43,28,50
2010-12,39,28,46
2011-01,59,39,49
2011-02,51,34,50
2011-03,54,34,52
2011-04,58,31,50
2011-05,57,30,49
2011-06,53,32,49
2011-07,53,31,47
2011-08,50,33,56
2011-09,51,36,52
2011-10,48,33,49
2011-11,48,33,47
2011-12,43,32,41
2012-01,66,42,45
2012-02,56,37,46
2012-03,56,36,48
2012-04,55,34,45
2012-05,54,34,47
2012-06,53,35,43
2012-07,56,35,45
2012-08,54,37,45
2012-09,51,37,46
2012-10,48,34,46
2012-11,45,33,42
2012-12,43,33,39
2013-01,66,43,45
2013-02,57,38,46
2013-03,58,38,45
2013-04,58,37,47
2013-05,55,37,47
2013-06,54,38,43
2013-07,54,37,46
2013-08,52,40,46
2013-09,51,40,47
2013-10,47,38,48
2013-11,45,37,44
2013-12,41,36,39
2014-01,60,47,45
2014-02,52,43,48
2014-03,54,41,47
2014-04,53,41,48
2014-05,50,38,43
2014-06,50,40,45
2014-07,49,40,45
2014-08,46,42,44
2014-09,46,42,49
2014-10,42,38,49
2014-11,41,37,42
2014-12,39,37,42
2015-01,55,49,46
2015-02,48,44,47
2015-03,51,44,46
2015-04,51,43,47
2015-05,48,42,45
2015-06,49,43,45
2015-07,46,42,46
2015-08,45,43,48
2015-09,43,45,48
2015-10,42,41,46
2015-11,38,41,42
2015-12,37,41,41
2016-01,52,52,44
2016-02,48,48,46
2016-03,47,48,43
2016-04,48,45,43
2016-05,46,46,42
2016-06,45,47,45
2016-07,44,57,41
2016-08,46,53,42
2016-09,42,48,42
2016-10,40,45,41
2016-11,38,44,42
2016-12,36,44,38
2017-01,56,60,43
2017-02,57,51,44
2017-03,50,50,45
2017-04,47,48,41
2017-05,47,48,43
2017-06,47,49,42
2017-07,49,51,43
2017-08,48,51,44
2017-09,42,50,46
2017-10,44,46,45
2017-11,42,47,46
2017-12,39,47,50
2018-01,58,57,54
2018-02,53,51,49
2018-03,54,51,49
2018-04,57,51,49
2018-05,52,46,44
2018-06,52,50,45
